,county_x,state_name,lat,lng,population,county_state,density
1125,Muscatine,Iowa,41.4839,-91.1127,42735,Muscatine_IA,97.4194724964096
1126,Summit,Utah,40.8683,-110.9557,42709,Summit_UT,22.82622057133695
1127,Manassas,Virginia,38.7479,-77.4838,42674,Manassas_VA,4297.482376636455
1128,Fayette,Tennessee,35.197,-89.4141,42653,Fayette_TN,60.543647977288856
1129,Miller,Arkansas,33.3124,-93.8921,42588,Miller_AR,68.25218757011443
1130,Union,Pennsylvania,40.963,-77.0622,42570,Union_PA,134.40469800776685
1131,Nez Perce,Idaho,46.3268,-116.7502,42477,Nez Perce_ID,50.02708814246007
1132,Cooke,Texas,33.6393,-97.2126,42473,Cooke_TX,48.616134792362985
1133,Mercer,Ohio,40.54,-84.6294,42438,Mercer_OH,91.60532734690354
1134,Fulton,Ohio,41.6018,-84.1301,42434,Fulton_OH,104.31682973597523
1135,Vance,North Carolina,36.3649,-78.4079,42361,Vance_NC,167.09135373934996
1136,Pierce,Wisconsin,44.7194,-92.4224,42351,Pierce_WI,73.46354663567452
1137,Danville,Virginia,36.5831,-79.4088,42239,Danville_VA,980.9335810496981
1138,Butler,Missouri,36.7164,-90.4066,42166,Butler_MO,60.449579952404164
1139,Baxter,Arkansas,36.2872,-92.3369,42150,Baxter_AR,76.03362435962191
1140,Clinton,Ohio,39.4149,-83.8084,42014,Clinton_OH,102.25369937694704
1141,Isanti,Minnesota,45.5615,-93.2951,41934,Isanti_MN,95.50641127838387
1142,Marinette,Wisconsin,45.3834,-88.0337,41907,Marinette_WI,29.895987900924553
1143,Ohio,West Virginia,40.0969,-80.6189,41904,Ohio_WV,394.65059333207756
1144,Upshur,Texas,32.7363,-94.9415,41864,Upshur_TX,71.24089578653597
1145,Sweetwater,Wyoming,41.6595,-108.8796,41786,Sweetwater_WY,4.008134058492322
1146,Crawford,Ohio,40.8508,-82.9198,41767,Crawford_OH,103.86958792370247
1147,Wharton,Texas,29.2779,-96.2221,41651,Wharton_TX,38.20736976323924
1148,Warren,Tennessee,35.6787,-85.7785,41587,Warren_TN,96.11269037879313
1149,Cheatham,Tennessee,36.2611,-87.0868,41500,Cheatham_TN,137.11755765545496
1150,Gratiot,Michigan,43.2927,-84.6049,41478,Gratiot_MI,72.75182853033519
1151,Benton,Minnesota,45.6991,-93.9988,41458,Benton_MN,101.54305868521604
1152,Clatsop,Oregon,45.995,-123.6557,41343,Clatsop_OR,49.97763620758435
1153,St. John the Baptist,Louisiana,30.1264,-90.4709,41342,St. John the Baptist_LA,188.86249428962995
1154,Tift,Georgia,31.4574,-83.5266,41322,Tift_GA,155.90265987549517
1155,Warren,Virginia,38.9087,-78.2085,41104,Warren_VA,192.34440804866637
1156,Tioga,Pennsylvania,41.7722,-77.2543,41078,Tioga_PA,36.232612703200935
1157,Tallapoosa,Alabama,32.8624,-85.7975,41070,Tallapoosa_AL,57.206134302787184
1158,Amador,California,38.4464,-120.6511,41029,Amador_CA,69.1923706089684
1159,Delaware,Oklahoma,36.4082,-94.8026,41017,Delaware_OK,55.379734017417135
1160,Shawano,Wisconsin,44.7892,-88.7654,40927,Shawano_WI,45.85606883956482
1161,Knox,Maine,44.141,-69.1686,40860,Knox_ME,111.74009352695053
1162,Pasquotank,North Carolina,36.2955,-76.2843,40830,Pasquotank_NC,179.962976022567
1163,Preble,Ohio,39.7415,-84.648,40802,Preble_OH,96.04990583804143
1164,Hendry,Florida,26.5535,-81.1659,40798,Hendry_FL,35.3986447207448
1165,LaGrange,Indiana,41.6426,-85.4265,40596,LaGrange_IN,106.95542206765728
1166,Sanilac,Michigan,43.4236,-82.8203,40574,Sanilac_MI,42.097945631873834
1167,Mecosta,Michigan,43.6408,-85.3246,40321,Mecosta_MI,72.56024042181791
1168,Latah,Idaho,46.8162,-116.7117,40315,Latah_ID,37.44485208749361
1169,Murray,Georgia,34.7884,-84.7481,40282,Murray_GA,116.95943787927179
1170,Okeechobee,Florida,27.3864,-80.8886,40249,Okeechobee_FL,52.00532341008346
1171,Howell,Missouri,36.774,-91.8865,40168,Howell_MO,43.29661327527109
1172,Rio Arriba,New Mexico,36.5096,-106.6931,40165,Rio Arriba_NM,6.856868733600449
1173,Ottawa,Ohio,41.5379,-83.1435,40161,Ottawa_OH,157.52500490292215
1174,McKean,Pennsylvania,41.8076,-78.569,40149,McKean_PA,40.90283932883034
1175,Mower,Minnesota,43.6715,-92.7525,40069,Mower_MN,56.31623330990865
1176,Waldo,Maine,44.5028,-69.1454,40006,Waldo_ME,54.823016732216026
1177,Fayette,West Virginia,38.0288,-81.0811,39987,Fayette_WV,60.22773485156568
1178,Wyoming,New York,42.7024,-78.2244,39980,Wyoming_NY,67.43013273515373
1179,Marshall,Iowa,42.0358,-92.9988,39971,Marshall_IA,69.84029913335196
1180,Tazewell,Virginia,37.125,-81.5606,39933,Tazewell_VA,76.83264709277715
1181,Pike,Mississippi,31.1748,-90.4042,39930,Pike_MS,97.65462593851647
1182,Webster,Missouri,37.2809,-92.8759,39868,Webster_MO,67.19476842176228
1183,Harrison,Indiana,38.1951,-86.1115,39785,Harrison_IN,81.99373480070895
1184,Mississippi,Arkansas,35.7624,-90.0522,39749,Mississippi_AR,44.25160033398274
1185,Snyder,Pennsylvania,40.7698,-77.0702,39711,Snyder_PA,119.90036231884058
1186,Orleans,New York,43.2521,-78.2312,39686,Orleans_NY,101.39499233520695
1187,Sequoyah,Oklahoma,35.4953,-94.7552,39676,Sequoyah_OK,58.88219405776023
1188,Campbell,Tennessee,36.4035,-84.1494,39568,Campbell_TN,82.4213135584394
1189,Fremont,Wyoming,43.0405,-108.6304,39472,Fremont_WY,4.2987191620372736
